20 190
1 2 1
1 3 100.1
1 4 100.1
1 5 100.1
1 6 100.1
1 7 100.1
1 8 100.1
1 9 100.1
1 10 100.1
1 11 100.1
1 12 100.1
1 13 100.1
1 14 100.1
1 15 100.1
1 16 100.1
1 17 100.1
1 18 100.1
1 19 100.1
1 20 100.1
2 3 2
2 4 100.1
2 5 100.1
2 6 100.1
2 7 100.1
2 8 100.1
2 9 100.1
2 10 100.1
2 11 100.1
2 12 100.1
2 13 100.1
2 14 100.1
2 15 100.1
2 16 100.1
2 17 100.1
2 18 100.1
2 19 100.1
2 20 100.1
3 4 3
3 5 100.1
3 6 100.1
3 7 100.1
3 8 100.1
3 9 100.1
3 10 100.1
3 11 100.1
3 12 100.1
3 13 100.1
3 14 100.1
3 15 100.1
3 16 100.1
3 17 100.1
3 18 100.1
3 19 100.1
3 20 100.1
4 5 4
4 6 100.1
4 7 100.1
4 8 100.1
4 9 100.1
4 10 100.1
4 11 100.1
4 12 100.1
4 13 100.1
4 14 100.1
4 15 100.1
4 16 100.1
4 17 100.1
4 18 100.1
4 19 100.1
4 20 100.1
5 6 5
5 7 100.1
5 8 100.1
5 9 100.1
5 10 100.1
5 11 100.1
5 12 100.1
5 13 100.1
5 14 100.1
5 15 100.1
5 16 100.1
5 17 100.1
5 18 100.1
5 19 100.1
5 20 100.1
6 7 6
6 8 100.1
6 9 100.1
6 10 100.1
6 11 100.1
6 12 100.1
6 13 100.1
6 14 100.1
6 15 100.1
6 16 100.1
6 17 100.1
6 18 100.1
6 19 100.1
6 20 100.1
7 8 7
7 9 100.1
7 10 100.1
7 11 100.1
7 12 100.1
7 13 100.1
7 14 100.1
7 15 100.1
7 16 100.1
7 17 100.1
7 18 100.1
7 19 100.1
7 20 100.1
8 9 8
8 10 100.1
8 11 100.1
8 12 100.1
8 13 100.1
8 14 100.1
8 15 100.1
8 16 100.1
8 17 100.1
8 18 100.1
8 19 100.1
8 20 100.1
9 10 9
9 11 100.1
9 12 100.1
9 13 100.1
9 14 100.1
9 15 100.1
9 16 100.1
9 17 100.1
9 18 100.1
9 19 100.1
9 20 100.1
10 11 10
10 12 100.1
10 13 100.1
10 14 100.1
10 15 100.1
10 16 100.1
10 17 100.1
10 18 100.1
10 19 100.1
10 20 100.1
11 12 11
11 13 100.1
11 14 100.1
11 15 100.1
11 16 100.1
11 17 100.1
11 18 100.1
11 19 100.1
11 20 100.1
12 13 12
12 14 100.1
12 15 100.1
12 16 100.1
12 17 100.1
12 18 100.1
12 19 100.1
12 20 100.1
13 14 13
13 15 100.1
13 16 100.1
13 17 100.1
13 18 100.1
13 19 100.1
13 20 100.1
14 15 14
14 16 100.1
14 17 100.1
14 18 100.1
14 19 100.1
14 20 100.1
15 16 15
15 17 100.1
15 18 100.1
15 19 100.1
15 20 100.1
16 17 16
16 18 100.1
16 19 100.1
16 20 100.1
17 18 17
17 19 100.1
17 20 100.1
18 19 18
18 20 100.1
19 20 19
4
1 20 400
1 20 8.7
4 8 9.1
4 8 7.5
